id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl11_2_1e,Aggregate KPI for pollution prevention & environmental remediation,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6395,88,172,1.2,[]
anl11_2_1g,"Aggregate KPI for Board Independence, Diversity, & Effectiveness","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6972,56,124,1.2,[]
anl11_2_1pme,Aggregate KPI for Compensation & Employee Satisfaction,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.713,79,189,1.2,[]
anl11_2_1tic,Aggregate KPI for Community Engagement & Charitable Activities,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6847,51,294,1.2,[]
anl11_2_2e,Aggregate KPI for Anti-Pollution Policies & Environmental Transparency,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6176,37,66,1.2,[]
anl11_2_2g,Aggregate KPI for Management Standards & Ethics,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7296,57,103,1.2,[]
anl11_2_2pme,Aggregate KPI for employee diversity treatment & labor rights,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7291,49,126,1.2,[]
anl11_2_2tic,"Aggregate KPI for Human Rights Activism, Supply Chain, Labor & Human Rights Policies","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7221,55,124,1.2,[]
anl11_2_3e,Aggregate KPI for Energy & Resource Efficiency,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6922,28,73,1.2,[]
anl11_2_3g,"Aggregate KPI for Disclosure, Transparency, & Stakeholder Accountability","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7044,43,112,1.2,[]
anl11_2_3pme,"Aggregate KPI for Employee Continuing Education, Training, Work Conditions, Safety & Health","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6803,30,54,1.2,[]
anl11_2_3tic,Aggregate KPI for Business Model & Products,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.626,22,32,1.2,[]
anl11_2_e,"The E Score averages the E1, E2, and E3 scores.","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.697,28,63,1.2,[]
anl11_2_g,"The G Score averages the G1, G2, and G3 scores.","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.731,30,98,1.2,[]
anl11_2_gse,"The ESG Score averages the E, S, and G scores.","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7335,38,115,1.2,[]
anl11_2_pme,The EMP score averages the three EMP scores.,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7319,24,46,1.2,[]
anl11_2_region,Region of the world in which the company is headquartered,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7335,39,119,1.2,[]
anl11_2_tic,"The CIT Score averages the CIT1, CIT2, and CIT3 scores.","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.7303,40,100,1.2,[]
anl11_cit1reg_industryperc,"Industry Percentile on CIT1, 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6582,44,66,1.2,[]
anl11_cit1reg_industryrnk,Industry Rank on CIT1 with 1 being the highest rank,"{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6847,43,92,1.2,[]
anl11_cit1regsubsecperc,"SubSector Percentile on CIT1, 100% being the best","{'id': 'analyst11', 'name': 'ESG scores'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-esg', 'name': 'ESG'}",USA,1,TOP3000,MATRIX,0.6582,32,62,1.2,[]
