id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
mdl109_1yf_dlyspe,"Earnings yield, FY1 (future year) Median","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8547,156,565,1.3,[]
mdl109_1yf_ep,"Price-to-EPS, FY1 (future year) Median","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7787,125,455,1.3,[]
mdl109_2yf_dlyspe,"Earnings yield, FY2 (future year) Median","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8341,160,383,1.3,[]
mdl109_2yf_ep,"Price-to-EPS, FY2 (future year) Median","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.782,140,386,1.3,[]
mdl109_57_03_am,"Moving average crossover, 30W-75W","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8392,17,53,1.3,[]
mdl109_63_51_am,"Moving average crossover, 15W-36W","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.858,13,22,1.3,[]
mdl109_abn_volm,Abnormal volume,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8681,36,101,1.3,[]
mdl109_ac_5y_sale,Historical 5-year revenue growth acceleration,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8448,21,123,1.3,[]
mdl109_accruals,Accruals (Sloan 1996),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8625,25,82,1.3,[]
mdl109_altman1968,Altman's z-score [1968],"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6884,26,56,1.3,[]
mdl109_altman1983,Altman's z-score [1983],"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6884,11,36,1.3,[]
mdl109_amihud,Amihud illiquidity,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8692,12,31,1.3,[]
mdl109_aor,"ROA, LTM","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8559,12,39,1.3,[]
mdl109_asset_gr,"Asset growth anomaly (Cooper, Gulen, Schill [2008])","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8625,21,40,1.3,[]
mdl109_asset_ps_gr,"Asset growth anomaly, per share total assets","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8571,15,43,1.3,[]
mdl109_b_mtl_dlyspe,"Earnings yield, LTM, basic","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8675,23,73,1.3,[]
mdl109_b_mtl_ep,"Price-to-EPS, LTM, basic","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7167,46,136,1.3,[]
mdl109_bb,Bollinger Bands,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8693,40,90,1.3,[]
mdl109_berry,Berry ratio (gross profits/operating expenses),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8679,12,32,1.3,[]
mdl109_bookp,Book-to-market,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8686,40,94,1.3,[]
mdl109_bookp_fy1,"Book-to-market, FY1 (future year)","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7193,30,146,1.3,[]
mdl109_cfo_curr_liab,Operating cash flow to current liabilities,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6882,10,19,1.3,[]
mdl109_cfoyld,Operating cash flow yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8524,89,146,1.3,[]
mdl109_cfoyld_fy1,"Operating cash flow yield, FY1","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6421,27,49,1.3,[]
mdl109_cfps_sur,CFPS surprise (vs consensus),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.5053,14,45,1.3,[]
mdl109_cfrnoa,Cash flow return on net operating assets (CFRNOA),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7642,18,54,1.3,[]
mdl109_cfroa,Cash flow return on asset (CFROA),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7611,3,7,1.3,[]
mdl109_cfroe,Cash flow return on equity (CFROE),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.848,17,43,1.3,[]
mdl109_cfroe_fy1,"CFROE, FY1 (future year)","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6564,5,14,1.3,[]
mdl109_current_r,Current ratio,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.6891,8,34,1.3,[]
mdl109_d0252ntr,"Total return, past 120M","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.5699,18,60,1.3,[]
mdl109_d0621ntr,"Total return, past 60 months","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7131,11,58,1.3,[]
mdl109_d12ntr,"Total return, past 1M","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8692,11,75,1.3,[]
mdl109_d252_ntr,"Price momentum, 12M","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8432,11,14,1.3,[]
mdl109_d36ntr,3-month total return,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8668,24,60,1.3,[]
mdl109_d621_ntr,"Price momentum, 6M","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8591,10,21,1.3,[]
mdl109_d981_ntr,Price Momentum,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8514,6,6,1.3,[]
mdl109_d_mtl_dlyspe,"Earnings yield, LTM, diluted","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8675,22,33,1.3,[]
mdl109_d_mtl_ep,"Price-to-EPS, LTM, diluted","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7161,26,84,1.3,[]
mdl109_debt_capital,Total debt/total capital,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8556,12,52,1.3,[]
mdl109_debt_chg,YoY change in debt outstanding,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8609,7,16,1.3,[]
mdl109_debt_equity,Total debt/total equity,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8566,17,53,1.3,[]
mdl109_debt_mktcapital,Total debt/total capital at market value,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8693,12,46,1.3,[]
mdl109_div_payout,"Dividend payout ratio, trailing","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8675,39,112,1.3,[]
mdl109_divyld_bb,Total yield (dividend + share change),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8598,16,104,1.3,[]
mdl109_divyld_exp,Expected dividend yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8693,57,117,1.3,[]
mdl109_divyld_fy1,"Dividend yield, FY1 (future year)","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7254,29,46,1.3,[]
mdl109_divyld_sh,Total yield (dividend + buyback - issuance),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8693,7,46,1.3,[]
mdl109_divyld_trl,Trailing dividend yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8693,23,47,1.3,[]
mdl109_dly_lf_org,Growth flow yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.5323,38,84,1.3,[]
mdl109_dlyfcf,Free cash flow (unlevered) yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8524,39,134,1.3,[]
mdl109_dlyspe_rh,Historical relative earnings yield,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8675,23,35,1.3,[]
mdl109_dps_sur,DPS surprise (vs consensus),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.3626,5,8,1.3,[]
mdl109_ebit_ev,EBIT/TEV,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8614,26,52,1.3,[]
mdl109_ebit_sur,EBIT surprise (vs consensus),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.5834,13,16,1.3,[]
mdl109_ebitda_ev,EBITDA/TEV,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8091,27,109,1.3,[]
mdl109_ebitda_sur,EBITDA surprise (vs consensus),"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.5875,50,185,1.3,[]
mdl109_eps_disp,FY1 EPS dispersion,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8554,13,24,1.3,[]
mdl109_eps_stab,"Historical EPS stability, coefficient of determination","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.7716,6,9,1.3,[]
mdl109_eps_sur_decay,EPS Surprise with Decay,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8268,24,156,1.3,[]
mdl109_eps_varia,FY1 (future year) EPS coefficient of variation,"{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8554,13,155,1.3,[]
mdl109_epsyld_gro_divy,"Earnings yield (LTM, basic) x (5Y Exp Growth + Expected Dividend Yield)","{'id': 'model109', 'name': 'Fundamentals and Technical Indicators Model'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,VECTOR,0.8159,22,104,1.3,[]
