id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
mws52_chars_in_presentation,Number of characters in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6539,73,132,1.1,[]
mws52_chars_in_qa,Number of characters in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6402,48,77,1.1,[]
mws52_conference_call_participants,Number of conference call participants,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.645,47,139,1.1,[]
mws52_corporate_participants,Number of corporate participants,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6538,37,85,1.1,[]
mws52_eventtype,Type of conference call event,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.697,39,74,1.1,[]
mws52_expirationtime,Expiration time of the event,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.697,41,142,1.1,[]
mws52_lastuptime,Last update time,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.697,39,177,1.1,[]
mws52_occurence,Occurrence of keywords in presentation and Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6545,6,7,1.1,[]
mws52_occurence_presentation,Occurrence of keywords in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6538,10,83,1.1,[]
mws52_occurence_qa,Occurrence of keywords in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6402,10,11,1.1,[]
mws52_paragraphs_in_presentation,Number of paragraphs in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6539,20,39,1.1,[]
mws52_position,Position of keywords in presentation and Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6545,9,10,1.1,[]
mws52_position_presentation,Position of keywords in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6545,12,14,1.1,[]
mws52_position_qa,Position of keywords in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,VECTOR,0.6545,7,9,1.1,[]
mws52_pparagraphs_in_qa,Number of paragraphs in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6402,26,70,1.1,[]
mws52_questions_in_presentation,Number of questions in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.4307,13,33,1.1,[]
mws52_questions_in_qa,Number of questions in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6382,32,59,1.1,[]
mws52_sentences_in_presentation,Number of sentences in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6538,27,48,1.1,[]
mws52_sentences_in_qa,Number of sentences in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6402,28,49,1.1,[]
mws52_starttime,Start time of the event,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.697,38,73,1.1,[]
mws52_talks_in_presentation,Number of talks in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6539,29,88,1.1,[]
mws52_talks_in_qa,Number of talks in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6402,26,41,1.1,[]
mws52_words_in_presentation,Number of words in presentation,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6539,35,80,1.1,[]
mws52_words_in_qa,Number of words in Q&A,"{'id': 'news52', 'name': 'Conference call data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,0.6402,34,130,1.1,[]
