id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth432_aacr_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Accounts Receivable,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6516,23,64,1.3,[]
oth432_aacr_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Accounts Receivable,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8143,20,39,1.3,[]
oth432_aacr_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Accounts Receivable,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.6913,17,36,1.3,[]
oth432_aacr_trkdpitdeltapredict_funda_predict,Predict value of Accounts Receivable,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.8138,34,68,1.3,[]
oth432_acae_a_profitability_profitability1,1st profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9545,33,126,1.3,[]
oth432_acae_a_profitability_profitability10,10th profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.5855,20,22,1.3,[]
oth432_acae_a_profitability_profitability11,11th profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.5954,18,26,1.3,[]
oth432_acae_a_profitability_profitability12,12th profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.7726,14,33,1.3,[]
oth432_acae_a_profitability_profitability2,2nd profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9542,26,34,1.3,[]
oth432_acae_a_profitability_profitability3,3rd profitability field of Annual Cash & Equivalents,"{'id': 'other432', 'name': 'DNN prediction of fundamentals'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-estimates-models', 'name': 'Estimates Models'}",USA,1,TOP3000,MATRIX,0.9178,20,37,1.3,[]
