id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth551_aev_2r,Daily R-squared value of VEA returns relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_iwm,Daily beta of IWM relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_mtum,Daily beta of MTUM relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_qqq,Daily beta of QQQ relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_qual,Daily beta of QUAL relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_size,Daily beta of SIZE relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_spy,Daily beta of SPY relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_usmv,Daily beta of USMV relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,1,1,1.1,[]
oth551_beta_vea,Daily beta of VEA relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_vlue,Daily beta of VLUE relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_beta_vt,Daily beta of VT relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,1,1,1.1,[]
oth551_beta_vwo,Daily beta of VWO relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_mwi_2r,Daily R-squared value of IWM returns relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_owv_2r,Daily R-squared value of VWO returns relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
oth551_qqq_2r,Daily R-squared value of QQQ returns relative to its benchmark index.,"{'id': 'other551', 'name': 'Alpha Toolkit Dataset'}","{'id': 'macro', 'name': 'Macro'}","{'id': 'macro-macroeconomic-activities', 'name': 'Macroeconomic Activities'}",USA,1,TOP3000,MATRIX,1.0,0,0,1.1,[]
