id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
adv20,Average daily volume in past 20 days,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,11551,81490,1.1,[]
cap,Daily market capitalization (in millions),"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,19993,313231,1.1,[]
close,Daily close price,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,31168,392335,1.1,[]
country,Country grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,1526,14041,1.1,[]
currency,Currency,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,315,1288,1.1,[]
dividend,Dividend,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,3232,9521,1.1,[]
exchange,Exchange grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,1447,48116,1.1,[]
high,Daily high price,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,9613,46082,1.1,[]
industry,Industry grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,13069,159452,1.1,[]
low,Daily low price,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,9169,39445,1.1,[]
market,Market grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,8393,80775,1.1,[]
open,Daily open price,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,8562,42525,1.1,[]
returns,Daily returns,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,17522,215037,1.1,[]
sector,Sector grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,11225,236043,1.1,[]
sedol,Sedol,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,SYMBOL,1.0,23,50,1.1,[]
sharesout,Daily outstanding shares (in millions),"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,4534,25332,1.1,[]
split,Stock split ratio,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,1984,13044,1.1,[]
subindustry,Subindustry grouping,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,GROUP,1.0,17221,193407,1.1,[]
ticker,Ticker,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,SYMBOL,1.0,74,198,1.1,[]
volume,Daily volume,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,19392,187224,1.1,[]
vwap,Daily volume weighted average price,"{'id': 'pv1', 'name': 'Price Volume Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,MATRIX,1.0,13907,54339,1.1,[]
