id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
rsk70_mfm2_usfast_1drevrsl,Style factor loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,635,2992,1.3,[]
rsk70_mfm2_usfast_beta,Beta style factor loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,164,517,1.3,[]
rsk70_mfm2_usfast_divyild,Dividend Yield Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,345,1073,1.3,[]
rsk70_mfm2_usfast_dsrt,Specific returns,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,327,1147,1.3,[]
rsk70_mfm2_usfast_dwnrisk,Down Risk Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,115,257,1.3,[]
rsk70_mfm2_usfast_earnqlty,Earnings Quality Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.9512,166,775,1.3,[]
rsk70_mfm2_usfast_earnyild,Earnings Yield Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,239,770,1.3,[]
rsk70_mfm2_usfast_growth,Growth Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.9312,182,1078,1.3,[]
rsk70_mfm2_usfast_indmom,Industrial Momentum Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.9806,122,395,1.3,[]
rsk70_mfm2_usfast_leverage,Leverage Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,150,660,1.3,[]
rsk70_mfm2_usfast_ltrevrsl,Long-Term Reversal Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.9903,94,355,1.3,[]
rsk70_mfm2_usfast_market,Market Market Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,92,356,1.3,[]
rsk70_mfm2_usfast_mgmtqlty,Management Quality Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.8817,108,403,1.3,[]
rsk70_mfm2_usfast_midcap,Midcap Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,76,339,1.3,[]
rsk70_mfm2_usfast_momentum,Momentum Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,79,244,1.3,[]
rsk70_mfm2_usfast_profit,Profit Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.9756,211,1135,1.3,[]
rsk70_mfm2_usfast_prospect,Prospect Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,0.997,89,279,1.3,[]
rsk70_mfm2_usfast_prospect_specret_daily,Prospect Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,176,1251,1.3,[]
rsk70_mfm2_usfast_prospect_specret_monthly,Prospect Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,137,758,1.3,[]
rsk70_mfm2_usfast_regmom,Regional Momentum Style Factor Loading,"{'id': 'risk70', 'name': 'Multi-Factor Model'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-factors', 'name': 'Risk Factors'}",USA,1,TOP3000,MATRIX,1.0,198,717,1.3,[]
