id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
snt26_avgranking_7,Average of rankings,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_dltcc,Country code top-level domain,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.9463,0,0,1.5,[]
snt26_kurtosis_15,Kurtosis of ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.8797,0,0,1.5,[]
snt26_rank,rank of the domain,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.9463,0,0,1.5,[]
snt26_relpopularity08_11,Relative popularity calculated with alpha=0.8,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_relpopularity1_6,Relative popularity calculated with alpha=1,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_skewness_9,Skewness of ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.8797,0,0,1.5,[]
snt26_top10pctranking_8,The top 10% percentile ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top10pctrankingavg_14,The average ranking of the top 10% percentile,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top25pctranking_17,The top 25% percentile ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top25pctrankingavg_1,The average ranking of the top 25% percentile,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top50pctranking_2,The top 50% percentile ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top50pctrankingavg_4,The average ranking of the top 50% percentile,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top75pctranking_12,The top 75% percentile ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_top75pctrankingavg_3,The average ranking of the top 75% percentile,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_topranking_10,The top ranking,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_totalcountrydomains_13,Total number of country-code TLDs,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_totaldomains_5,Total number of sub-domains,"{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
snt26_wq_pit_16,"For ongoing data it is wq_append_time, for history data it simulated from PIT simulation field in the MCD input settings. MCD builder can disable auto-filled value of wq_pit for ongoing, by checking the flag ""Always simulate PIT"" in MCD Output Config","{'id': 'sentiment26', 'name': 'Website Popularity Ranking Dataset'}","{'id': 'sentiment', 'name': 'Sentiment'}","{'id': 'sentiment-sentiment', 'name': 'Sentiment'}",USA,1,TOP3000,VECTOR,0.944,0,0,1.5,[]
